PBT_RELEASE_GROUP	y	c1	c2	c3	c4
2015-LYON-TUCW-Tucannon	2015	LYON	TUCW	Tucannon	NA
2015-MCCA-JHNW-JohnsonCr	2015	MCCA	JHNW	JohnsonCr	NA
2015-MCCA-SFSAL-CabinCr-SacFry	2015	MCCA	SFSAL	CabinCr	SacFry
2015-MCCA-SFSAL-SFSalmonR-IntSmolt	2015	MCCA	SFSAL	SFSalmonR	IntSmolt
2015-MCCA-SFSAL-SFSalmonR-SegSmolt	2015	MCCA	SFSAL	SFSalmonR	SegSmolt
2015-NPFH-DWOR-Clearwater-Parr	2015	NPFH	DWOR	Clearwater	Parr
2015-NPFH-DWOR-LoloCr-Parr	2015	NPFH	DWOR	LoloCr	Parr
2015-NPFH-NPFH-unknown	2015	NPFH	NPFH	unknown	NA
2015-PAHH-PAH-PahsimeroiR-IntSmolt	2015	PAHH	PAH	PahsimeroiR	IntSmolt
2015-PAHH-PAH-PahsimeroiR-SegSmolt	2015	PAHH	PAH	PahsimeroiR	SegSmolt
2015-RAPH-RAPH-RapidR	2015	RAPH	RAPH	RapidR	NA
2015-SAWT-PAH-PahsimeroiR-SegSmolt	2015	SAWT	PAH	PahsimeroiR	SegSmolt
2015-SAWT-SAW-UpperSalmonR-IntSmolt	2015	SAWT	SAW	UpperSalmonR	IntSmolt
2015-SAWT-SAW-UpperSalmonR-SegSmolt	2015	SAWT	SAW	UpperSalmonR	SegSmolt
2015-SAWT-SAW-YankeeForkSalmonR-Smolt	2015	SAWT	SAW	YankeeForkSalmonR	Smolt
2016-CLWH-ClearCr-ClearCr	2016	CLWH	ClearCr	ClearCr	NA
2016-CLWH-DWOR-NFClearwaterR-AD	2016	CLWH	DWOR	NFClearwaterR	AD
2016-CLWH-DWOR-SelwayR-AD	2016	CLWH	DWOR	SelwayR	AD
2016-CLWH-DWOR-SelwayR-AD/Adint	2016	CLWH	DWOR	SelwayR	AD/Adint
2016-CLWH-Powell-Powell-AD	2016	CLWH	Powell	Powell	AD
2016-CLWH-Powell-Powell-AD/Adint	2016	CLWH	Powell	Powell	AD/Adint
2016-CLWH-Powell-Powell-Adint	2016	CLWH	Powell	Powell	Adint
2016-CLWH-SFCLW-RedR	2016	CLWH	SFCLW	RedR	NA
2016-CLWH-SFSAL-Powell-AD	2016	CLWH	SFSAL	Powell	AD
2016-DWOR-DWOR-ClearwaterR	2016	DWOR	DWOR	ClearwaterR	NA
2016-KOOS-KOOS-ClearCr	2016	KOOS	KOOS	ClearCr	NA
2016-KOOS-SFCLW-ClearCr	2016	KOOS	SFCLW	ClearCr	NA
2016-LOOK-CTHW-CatherineCr	2016	LOOK	CTHW	CatherineCr	NA
2016-LOOK-GRUW-GrandeRonde	2016	LOOK	GRUW	GrandeRonde	NA
2016-LOOK-IMNW-Imnaha	2016	LOOK	IMNW	Imnaha	NA
2016-LOOK-LKGW-LookingGlass	2016	LOOK	LKGW	LookingGlass	NA
2016-LOOK-LSTW-Lostine	2016	LOOK	LSTW	Lostine	NA
2016-LYON-TUCW-Tucannon	2016	LYON	TUCW	Tucannon	NA
2016-MCCA-SFSAL-SFSalmonR-IntSmolt	2016	MCCA	SFSAL	SFSalmonR	IntSmolt
2016-MCCA-SFSAL-SFSalmonR-SegSmolt	2016	MCCA	SFSAL	SFSalmonR	SegSmolt
2016-NPFH-NPFH-unknown	2016	NPFH	NPFH	unknown	NA
2016-PAHH-PAH-PahsimeroiR-IntSmolt	2016	PAHH	PAH	PahsimeroiR	IntSmolt
2016-PAHH-PAH-PahsimeroiR-SegSmolt	2016	PAHH	PAH	PahsimeroiR	SegSmolt
2016-RAPH-RAPH-RapidR	2016	RAPH	RAPH	RapidR	NA
2016-SAWT-SAW-UpperSalmonR-IntSmolt	2016	SAWT	SAW	UpperSalmonR	IntSmolt
2016-SAWT-SAW-UpperSalmonR-SegSmolt	2016	SAWT	SAW	UpperSalmonR	SegSmolt
2016-SAWT-SAW-YankeeForkSalmonR-Smolt	2016	SAWT	SAW	YankeeForkSalmonR	Smolt
2016-SBT-Pahsimeroi-EggBox	2016	SBT	Pahsimeroi	EggBox	NA
2017-CLWH-Powell-Powell-AD/Adint	2017	CLWH	Powell	Powell	AD/Adint
2017-LOOK-IMNW-Imnaha	2017	LOOK	IMNW	Imnaha	NA
