Expansion_Reference	Hatchery	Release_Site	Migr._Year	Hatch._Release	Total_PIT_Release	PIT_Release_RAL	RAL_Expansion	Row	PTAGIS_RelSite	Random
2007KNOXB0	McCall	SFSR-Knox	2007	1087170	51726	34534	1	3	KNOXB	0
2008KNOXB0	McCall	SFSR-Knox	2008	1060540	51678	36239	1	4	KNOXB	0
2006RAPH0	Rapid River	Rapid R. Hat	2006	2530528	96975	34537	1	5	RAPH	0
2007RAPH0	Rapid River	Rapid R. Hat	2007	2396602	109675	34731	1	6	RAPH	0
2008RAPH0	Rapid River	Rapid R. Hat	2008	2493719	117587	102074	1	7	RAPH	0
2006DWORNF0	Dworshak	NF-DHFH	2006	1007738	92548	34490	1	8	DWORNF	0
2007DWORNF0	Dworshak	NF-DHFH	2007	963211	104193	31174	1	9	DWORNF	0
2008DWORNF0	Dworshak	NF-DHFH	2008	939000	49384	34729	1	10	DWORNF	0
2006POWP0	Clearwater Hat.	Powell	2006	423633	14967	13470	1	11	POWP	0
2007POWP0	Clearwater Hat.	Powell	2007	373977	14971	13474	1	12	POWP	0
2008POWP0	Clearwater Hat.	Powell	2008	223714	33741	31341	1	13	POWP	0
2006REDP0	Clearwater Hat.	Red	2006	423603	14973	13476	1	14	REDP	0
2007REDP0	Clearwater Hat.	Red	2007	375759	14978	13480	1	15	REDP	0
2008REDP0	Clearwater Hat.	Red	2008	424719	11985	10805	1	16	REDP	0
2006CROOKR0	Clearwater Hat.	Crooked	2006	608472	14978	13480	1	17	CROOKR	0
2007CROOKR0	Clearwater Hat.	Crooked	2007	517092	14969	13472	1	18	CROOKR	0
2008CROTRP0	Clearwater Hat.	Crooked	2008	566752	11987	10789	1	19	CROTRP	0
2006SELWY10	Clearwater Hat.	Selway	2006	209842	0	0	1	20	SELWY1	0
2007SELWY10	Clearwater Hat.	Selway	2007	179432	0	0	1	21	SELWY1	0
2008SELWY10	Clearwater Hat.	Selway	2008	205659	8974	8095	1	22	SELWY1	0
2007SAWT0	Sawtooth	Weir	2007	995262	14970	13473	1	23	SAWT	0
2008SAWT0	Sawtooth	Weir	2008	174132	14961	13466	1	24	SAWT	0
2008PAHP0	Pahsimeroi	Ponds	2008	1037772	14833	13350	1	25	PAHP	0
2006KOOS0	Kooskia	Clear Cr	2006	630000	800	0	1	26	KOOS	0
2007KOOS0	Kooskia	Clear Cr	2007	569565	9943	9892	1	27	KOOS	0
2008KOOS0	Kooskia	Clear Cr	2008	649601	9935	9900	1	28	KOOS	0
2006SAWT0	Sawtooth	Weir	2006	1552444	500	0	1	29	SAWT	0
2007PAHP0	Pahsimeroi	Ponds	2007	978463	498	0	1	30	PAHP	0
2006PAHP0	Pahsimeroi	Ponds	2006	1073951	298	0	1	31	PAHP	0
2009KNOXB0	McCall	SFSR-Knox	2009	1106700	51496	36146	1	32	KNOXB	0
2009RAPH0	Rapid River	Rapid R. Hat	2009	2503711	51774	36189	1	33	RAPH	0
2009DWORNF0	Dworshak	NF-DHFH	2009	1014748	51599	36245	1	34	DWORNF	0
2009POWP0	Clearwater Hat.	Powell	2009	404115	11985	9019	1	35	POWP	0
2009REDP0	Clearwater Hat.	Red	2009	404856	15092	11356	1	36	REDP	0
2009CROOKR0	Clearwater Hat.	Crooked	2009	703101	15089	11354	1	37	CROOKR	0
2009SELWY10	Clearwater Hat.	Selway	2009	299707	9981	7511	1	38	SELWY1	0
2009CLEARC0	Clearwater Hat.	Clear Cr	2009	234151	11556	8696	1	39	CLEARC	0
2009SAWT0	Sawtooth	Weir	2009	274644	18671	13503	1	40	SAWT	0
2009PAHP0	Pahsimeroi	Ponds	2009	870842	18750	13500	1	41	PAHP	0
2009KOOS0	Kooskia	Clear Cr	2009	603679	11580	9910	1	42	KOOS	0
2010KNOXB0	McCall	SFSR-Knox	2010	1037600	51875	36374	1	43	KNOXB	0
2010RAPH0	Rapid River	Rapid R. Hat	2010	2492454	51939	36424	1	44	RAPH	0
2010DWORNF0	Dworshak	NF-DHFH	2010	1109195	51880	36378	1	45	DWORNF	0
2010POWP0	Clearwater Hat.	Powell	2010	413158	18182	12728	1	46	POWP	0
2010REDP0	Clearwater Hat.	Red	2010	1206110	18175	12723	1	47	REDP	0
2010SELWY10	Clearwater Hat.	Selway	2010	402160	18188	12732	1	48	SELWY1	0
2010CLEARC0	Clearwater Hat.	Clear Cr	2010	229605	18178	12725	1	49	CLEARC	0
2010SAWT0	Sawtooth	Weir	2010	1455634	16939	11877	1	50	SAWT	0
2010YANKFK0	Sawtooth	Yankee Fork	2010	398444	4344	3047	1	51	YANKFK	0
2010PAHP0	Pahsimeroi	Ponds	2010	1169701	21379	14965	1	52	PAHP	0
2010KOOS0	Kooskia	Clear Cr	2010	632330	14543	13791	1	53	KOOS	0
2011KNOXB0	McCall	SFSR-Knox	2011	1069028	51878	36415	1	54	KNOXB	0
2011RAPH0	Rapid River	Rapid R. Hat	2011	2483181	51730	36331	1	55	RAPH	0
2011DWORNF0	Dworshak	NF-DHFH	2011	1078250	51915	36407	1	56	DWORNF	0
2011POWP0	Clearwater Hat.	Powell	2011	413757	17089	11965	1	57	POWP	0
2011REDP0	Clearwater Hat.	Red	2011	1114760	17060	11939	1	58	REDP	0
2011SELWY10	Clearwater Hat.	Selway / All	2011	414270	17083	11958	1	59	SELWY1	0
2011CLEARC0	Clearwater Hat.	Clear Cr	2011	291604	17095	11966	1	60	CLEARC	0
2011CROOKR0	Clearwater Hat.	Crooked R.	2011	204061	25488	17841	1	61	CROOKR	0
2011SAWT0	Sawtooth	Weir	2011	1337302	18968	13277	1	62	SAWT	0
2011YANKFK0	Sawtooth	Yankee Fork	2011	397877	2397	1678	1	63	YANKFK	0
2011PAHP0	Pahsimeroi	Ponds	2011	1030028	21131	14797	1	64	PAHP	0
2011KOOS0	Kooskia	Clear Cr	2011	657267	13932	12969	1	65	KOOS	0
2011NPTH0	NPTH	NPTH	2011	251625	6244	5946	1	66	NPTH	0
2012KNOXB0	McCall	SFSR-Knox	2012	787088	25955	18237	1	67	KNOXB	0
2012RAPH0	Rapid River	Rapid R. Hat	2012	2498197	51938	36431	1	68	RAPH	0
2012DWORNF0	Dworshak	NF-DHFH	2012	1044080	51787	35953	1	69	DWORNF	0
2012POWP0	Clearwater Hat.	Powell	2012	407970	17121	12034	1	70	POWP	0
2012REDP0	Clearwater Hat.	Red	2012	1122939	17045	11953	1	71	REDP	0
2012SELWY10	Clearwater Hat.	Selway / All	2012	415369	16978	11889	1	72	SELWY1	0
2012CLEARC0	Clearwater Hat.	Clear Cr	2012	234511	17087	11964	1	73	CLEARC	0
2012CROOKR0	Clearwater Hat.	Crooked R.	2012	206317	25482	17846	1	74	CROOKR	0
2012SAWT0	Sawtooth	Weir	2012	1080164	18051	12635	1	75	SAWT	0
2012YANKFK0	Sawtooth	Yankee Fork	2012	197036	3381	2372	1	76	YANKFK	0
2012PAHP0	Pahsimeroi	Ponds	2012	847580	21362	14964	1	77	PAHP	0
2012KOOS0	Kooskia	Clear Cr	2012	619865	15022	13971	1	78	KOOS	0
2013POWP0	Clearwater Hat.	Powell	2013	408421	17059	11906	1	82	POWP	0
2013REDP0	Clearwater Hat.	Red	2013	1085486	16850	11856	1	83	REDP	0
2013CLEARC0	Clearwater Hat.	Clear Cr	2013	378083	17083	12010	1	85	CLEARC	0
2013SAWT0	Sawtooth	Weir	2013	652732	21282	14899	1	87	SAWT	0
2012KNOXB90	McCall (Int)	SFSR-Knox	2012	241265	25962	18102	1	91	KNOXB	90
2011IMNAHW0	Imnaha (Volitional)	Imnaha Weir	2011	252588	20757	14570	1	92	IMNAHW	0
2012IMNAHW0	Imnaha (Volitional)	Imnaha Weir	2012	332877	14881	10430	1	93	IMNAHW	0
2012IMNAHR0	Imnaha (Direct)	Imnaha River	2012	136933	5938	4120	1	94	IMNAHR	0
2013IMNAHW0	Imnaha (Volitional)	Imnaha Weir	2013	223626	11956	8367	1	95	IMNAHW	0
2013IMNAHR0	Imnaha (Direct)	Imnaha River	2013	166979	8940	6272	1	96	IMNAHR	0
2014PAHP0	Pahsimeroi	Ponds	2014	827321	21376	14963	1	106	PAHP	0
2014YANKFK0	Sawtooth	Yankee Fork	2014	192577	2398	1679	1	108	YANKFK	0
2015YANKFK0	Sawtooth	Yankee Fork	2015	183379	2496	1747	1	120	YANKFK	0
2017KOOS0	Kooskia	Clear Cr	2017	628907	7910	5537	1	145	KOOS	0
2018CLEARC0	Clearwater Hat.	Clear Cr	2018	818037	8689	6082	1	154	CLEARC	0
2018YANKFK0	Sawtooth	Yankee Fork	2018	272798	2473	1731	1	159	YANKFK	0
2019KNOXB0	McCall (Seg)	SFSR-Knox	2019	947076	25876	18113	1	160	KNOXB	0
2019KNOXB90	McCall (Int)	SFSR-Knox	2019	159911	25808	18066	1	161	KNOXB	90
2019RAPH0	Rapid River	Rapid R. Hat	2019	2504018	51428	36000	1	162	RAPH	0
2019DWORNF0	Dworshak	NF-DHFH	2019	1716951	41945	29362	1	163	DWORNF	0
2019POWP0	Clearwater Hat.	Powell (summers)	2019	624403	25389	17772	1	164	POWP	0
2019REDP0	Clearwater Hat.	Red	2019	606686	8461	5923	1	165	REDP	0
2019SELWY10	Clearwater Hat.	Selway	2019	402570	17029	11920	1	166	SELWY1	0
2019CLEARC0	Clearwater Hat.	Clear Cr	2019	691051	9741	6819	1	167	CLEARC	0
2019CLWHNF0	Clearwater Hat.	NF Clearwater	2019	544153	17065	11946	1	168	CLWHNF	0
2019CLWHNF0	Clearwater Hat.	REDP NF Clearwater	2019	574038	8600	6020	1	169	CLWHNF	0
2019SAWT0	Sawtooth	Weir	2019	919070	18880	13216	1	170	SAWT	0
2019PAHP0	Pahsimeroi	Ponds	2019	733083	21221	14855	1	171	PAHP	0
2019KOOS0	Kooskia	Clear Cr	2019	654664	7908	5536	1	172	KOOS	0
2019YANKFK0	Sawtooth	Yankee Fork	2019	94366	2473	1731	1	173	YANKFK	0
